City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,villa guerrero,18.8667,-99.65,21.82,34,2,2.8,MX,1675541564
294,souillac,-20.5167,57.5167,25.46,86,52,4.77,MU,1675541247
295,mocajuba,-2.5842,-49.5072,26.95,87,68,1.81,BR,1675541565
296,borovoy,55.4333,86.0833,-18.4,84,40,1.0,RU,1675541565
297,dandong,40.1292,124.3947,-5.43,63,1,1.79,CN,1675541361
298,lahij,13.1667,44.5833,21.03,80,28,1.56,YE,1675541565
299,fortuna,40.5982,-124.1573,15.37,59,100,5.36,US,1675541244
300,nome,64.5011,-165.4064,-11.96,85,100,3.6,US,1675541468
301,codrington,-38.2667,141.9667,14.21,82,100,2.63,AU,1675541566
302,luderitz,-26.6481,15.1594,17.71,85,5,7.26,NA,1675541192
303,codajas,-3.8367,-62.0569,24.81,89,99,0.46,BR,1675541567
304,upernavik,72.7868,-56.1549,-21.15,95,100,3.15,GL,1675541429
305,coquimbo,-29.9533,-71.3436,22.85,64,0,4.63,CL,1675541231
306,shellbrook,53.2168,-106.4011,-6.01,91,100,1.23,CA,1675541567
307,poum,-20.2333,164.0167,27.35,79,48,2.03,NC,1675541208
308,opuwo,-18.0607,13.84,23.5,29,88,0.84,NA,1675541333
309,saint-georges,12.0564,-61.7485,26.25,78,3,7.8,GD,1675541567
310,anastacio,-20.4836,-55.8069,30.76,46,46,1.53,BR,1675541567
311,bowen,-20.0167,148.2333,26.04,89,100,3.85,AU,1675541568
312,makaha,21.4694,-158.2175,22.53,72,100,2.57,US,1675541568
313,ancud,-41.8697,-73.8203,21.01,65,43,2.21,CL,1675541441
314,powell river,49.8496,-124.5361,9.44,90,100,5.63,CA,1675541569
315,erzin,36.9559,36.2,6.35,78,100,2.12,TR,1675541569
316,ilulissat,69.2167,-51.1,-18.99,78,40,3.09,GL,1675541232
317,lavrentiya,65.5833,-171.0,-25.35,95,96,3.12,RU,1675541225
318,boysun,38.2061,67.1986,4.58,59,100,2.85,UZ,1675541569
319,stettler,52.3168,-112.7186,0.27,81,81,3.84,CA,1675541570
320,kavaratti,10.5669,72.642,27.42,67,99,2.59,IN,1675541549
321,ixtapa,20.7,-105.2,24.57,73,40,5.66,MX,1675541343
322,elko,41.0002,-115.5012,-1.64,63,91,1.34,US,1675541570
323,fairbanks,64.8378,-147.7164,-12.02,79,100,1.54,US,1675541570
324,nishihara,26.1842,127.7558,16.6,85,100,4.12,JP,1675541572
325,phan thiet,10.9333,108.1,21.48,87,24,3.71,VN,1675541192
326,kismayo,-0.3582,42.5454,24.66,82,25,6.26,SO,1675541572
327,sanming,26.2486,117.6186,12.69,99,100,0.84,CN,1675541572
328,zigong,29.3416,104.7769,11.78,71,84,1.55,CN,1675541573
329,marystown,47.1666,-55.1483,-13.92,89,100,14.82,CA,1675541573
330,yerbogachen,61.2767,108.0108,-26.02,100,91,1.05,RU,1675541531
331,kihei,20.785,-156.4656,23.5,89,75,7.2,US,1675541573
332,corinto,37.9407,22.9573,10.5,80,82,1.67,GR,1675541574
333,bystryy istok,52.371,84.3873,-11.95,97,100,1.59,RU,1675541574
334,geraldton,-28.7667,114.6,21.23,88,75,1.54,AU,1675541434
335,suda,59.1525,37.5582,-2.94,97,95,2.45,RU,1675541575
336,broken hill,-31.95,141.4333,15.54,58,0,4.68,AU,1675541188
337,manta,-0.95,-80.7333,27.88,74,75,4.63,EC,1675541575
338,jinchang,38.4953,102.1739,-1.86,37,0,0.55,CN,1675541310
339,hualmay,-11.0964,-77.6139,24.87,71,89,4.17,PE,1675541575
340,gigmoto,13.7796,124.39,24.94,88,95,6.04,PH,1675541575
341,kahului,20.8947,-156.47,23.5,90,75,7.2,US,1675541199
342,banjar,-8.19,114.9675,24.87,90,100,0.67,ID,1675541576
343,masuda,34.6667,131.85,1.91,74,45,2.04,JP,1675541576
344,avera,33.194,-82.5271,10.77,33,9,3.19,US,1675541514
345,los llanos de aridane,28.6585,-17.9182,14.86,68,40,3.13,ES,1675541177
346,lompoc,34.6391,-120.4579,20.94,70,0,4.12,US,1675541439
347,alice springs,-23.7,133.8833,12.75,82,4,0.0,AU,1675541576
348,voh,-20.9667,164.7,26.98,84,9,1.88,NC,1675541577
349,santa cruz,-17.8,-63.1667,29.03,54,75,4.63,BO,1675541577
350,martapura,-3.4167,114.85,25.05,100,100,0.51,ID,1675541315
351,bharatpur,27.2167,77.4833,15.29,42,0,2.94,IN,1675541577
352,pevek,69.7008,170.3133,-37.78,100,89,1.0,RU,1675540977
353,yeppoon,-23.1333,150.7333,25.88,89,58,3.57,AU,1675541578
354,cowra,-33.8333,148.6833,12.65,70,0,0.8,AU,1675541578
355,kitimat,54.0524,-128.6534,1.06,32,100,1.06,CA,1675541578
356,champerico,14.3,-91.9167,29.22,59,2,5.58,GT,1675541204
357,dasoguz,41.8363,59.9666,2.85,70,6,5.92,TM,1675541579
358,kelheim,48.9167,11.8667,0.14,77,54,1.44,DE,1675541579
359,terney,45.0503,136.6092,-12.84,79,80,2.95,RU,1675541579
360,novikovo,51.1537,37.8879,-3.65,95,99,3.54,RU,1675541579
361,sinnamary,5.3833,-52.95,25.23,88,100,6.97,GF,1675541516
362,north platte,41.1239,-100.7654,7.29,63,0,6.71,US,1675541436
